GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myartifactid,default,Tarea,9,12,1,1,3,5,2,3,1,3
myartifactid,default,GestorTareas,47,20,9,1,10,6,7,3,2,3
